YEAR,MONTH,DAY,PERIOD,RAIN_PER,DOW,SEARCH_VOL,PAYMENT
2023,4,1,2,20.0,SAT,44.49319999999999,24.8631768
2023,4,1,3,23.333333333333332,SAT,60.9588,69.78641669999999
2023,4,1,4,20.0,SAT,28.650799999999993,101.71299599999998
2023,4,1,5,4.705882352941177,SAT,29.864399999999996,73.7419221
2023,4,1,6,0.0,SAT,0.0,6.2157942
2023,4,2,1,0.0,SUN,0.0,5.3935992
2023,4,2,2,0.0,SUN,40.695,21.5743968
2023,4,2,3,0.0,SUN,55.755,60.555409199999986
2023,4,2,4,0.0,SUN,26.205,88.25889599999998
2023,4,2,5,0.0,SUN,27.315,63.98769959999999
2023,4,2,6,0.0,SUN,0.0,5.3935992
2023,4,3,1,0.0,MON,0.0,4.0451994000000004
2023,4,3,2,0.0,MON,36.8968,16.180797600000002
2023,4,3,3,0.0,MON,50.5512,45.4165569
2023,4,3,4,17.818181818181817,MON,23.7592,66.19417200000001
2023,4,3,5,20.54794520547945,MON,24.765600000000003,47.99077470000001
2023,4,3,6,20.0,MON,0.0,4.0451994000000004
2023,4,4,1,24.8,TUE,0.0,4.604292000000001
2023,4,4,2,32.123893805309734,TUE,39.338499999999996,13.812876000000003
2023,4,4,3,53.333333333333336,TUE,53.8965,32.30852625000001
2023,4,4,4,60.02985074626866,TUE,25.3315,47.08935000000001
2023,4,4,5,60.43835616438356,TUE,26.404500000000002,34.139778750000005
2023,4,4,6,61.10344827586207,TUE,0.0,2.8776825000000006
2023,4,5,1,62.808,WED,0.0,2.4460301250000005
2023,4,5,2,59.203539823008846,WED,35.8116,9.784120500000002
2023,4,5,3,57.5,WED,49.064400000000006,27.462247312500004
2023,4,5,4,50.59701492537314,WED,23.060399999999998,10.673586000000002
2023,4,5,5,37.397260273972606,WED,24.037200000000002,34.822574325000005
2023,4,5,6,53.793103448275865,WED,0.0,2.4460301250000005
2023,4,6,1,41.52,THU,0.0,3.1325629500000005
2023,4,6,2,30.0,THU,35.8116,16.7070024
2023,4,6,3,26.666666666666668,THU,49.064400000000006,46.893518099999994
2023,4,6,4,12.835820895522389,THU,23.060399999999998,68.34682799999999
2023,4,6,5,6.712328767123288,THU,24.037200000000002,49.5514503
2023,4,6,6,14.827586206896552,THU,0.0,4.1767506
2023,4,7,1,16.64,FRI,0.0,4.5056286
2023,4,7,2,2.1238938053097347,FRI,38.253299999999996,18.0225144
2023,4,7,3,0.0,FRI,52.4097,50.58592109999999
2023,4,7,4,0.0,FRI,24.6327,73.72846799999999
2023,4,7,5,0.0,FRI,25.6761,53.4531393
2023,4,7,6,0.0,FRI,0.0,4.5056286
2023,4,8,1,0.0,SAT,0.0,6.2157942
2023,4,8,2,0.0,SAT,44.49319999999999,24.8631768
2023,4,8,3,0.0,SAT,60.9588,69.78641669999999
2023,4,8,4,0.0,SAT,28.650799999999993,101.71299599999998
2023,4,8,5,0.0,SAT,29.864399999999996,73.7419221
2023,4,8,6,0.0,SAT,0.0,6.2157942
2023,4,9,1,0.0,SUN,0.0,5.3935992
2023,4,9,2,6.725663716814159,SUN,40.695,21.5743968
2023,4,9,3,5.555555555555555,SUN,55.755,60.555409199999986
2023,4,9,4,5.970149253731344,SUN,26.205,88.25889599999998
2023,4,9,5,10.95890410958904,SUN,27.315,63.98769959999999
2023,4,9,6,16.03448275862069,SUN,0.0,5.3935992
2023,4,10,1,10.56,MON,0.0,4.0451994000000004
2023,4,10,2,11.415929203539823,MON,36.8968,16.180797600000002
2023,4,10,3,21.666666666666668,MON,50.5512,45.4165569
2023,4,10,4,21.940298507462686,MON,23.7592,66.19417200000001
2023,4,10,5,26.164383561643834,MON,24.765600000000003,47.99077470000001
2023,4,10,6,32.06896551724138,MON,0.0,3.033899550000001
2023,4,11,1,54.944,TUE,0.0,2.8776825000000006
2023,4,11,2,20.884955752212388,TUE,39.338499999999996,18.417168000000004
2023,4,11,3,5.0,TUE,53.8965,51.693642000000004
2023,4,11,4,0.0,TUE,25.3315,75.34296
2023,4,11,5,0.0,TUE,26.404500000000002,54.62364600000001
2023,4,11,6,0.0,TUE,0.0,4.604292000000001
2023,4,12,1,0.0,WED,0.0,3.913648200000001
2023,4,12,2,0.0,WED,35.8116,15.654592800000003
2023,4,12,3,3.3333333333333335,WED,49.064400000000006,43.939595700000005
2023,4,12,4,1.1940298507462686,WED,23.060399999999998,64.041516
2023,4,12,5,0.0,WED,24.037200000000002,46.43009910000001
2023,4,12,6,1.3793103448275863,WED,0.0,3.913648200000001
2023,4,13,1,2.08,THU,0.0,4.1767506
2023,4,13,2,9.91150442477876,THU,35.8116,16.7070024
2023,4,13,3,12.222222222222221,THU,49.064400000000006,46.893518099999994
2023,4,13,4,18.80597014925373,THU,23.060399999999998,68.34682799999999
2023,4,13,5,17.123287671232877,THU,24.037200000000002,49.5514503
2023,4,13,6,15.0,THU,0.0,4.1767506
2023,4,14,1,29.6,FRI,0.0,4.5056286
2023,4,14,2,24.336283185840706,FRI,38.253299999999996,18.0225144
2023,4,14,3,26.11111111111111,FRI,52.4097,50.58592109999999
2023,4,14,4,30.0,FRI,24.6327,73.72846799999999
2023,4,14,5,29.315068493150687,FRI,25.6761,53.4531393
2023,4,14,6,41.724137931034484,FRI,0.0,3.37922145
2023,4,15,1,50.72,SAT,0.0,1.0359657
2023,4,15,2,15.752212389380531,SAT,44.49319999999999,24.8631768
2023,4,15,3,12.222222222222221,SAT,60.9588,69.78641669999999
2023,4,15,4,18.955223880597014,SAT,28.650799999999993,101.71299599999998
2023,4,15,5,23.835616438356166,SAT,29.864399999999996,73.7419221
2023,4,15,6,21.379310344827587,SAT,0.0,6.2157942
2023,4,16,1,23.6,SUN,0.0,5.3935992
2023,4,16,2,17.168141592920353,SUN,40.695,21.5743968
2023,4,16,3,0.0,SUN,55.755,60.555409199999986
2023,4,16,4,0.0,SUN,26.205,88.25889599999998
2023,4,16,5,0.0,SUN,27.315,63.98769959999999
2023,4,16,6,0.0,SUN,0.0,5.3935992
2023,4,17,1,22.96,MON,0.0,4.0451994000000004
2023,4,17,2,28.4070796460177,MON,36.8968,16.180797600000002
2023,4,17,3,30.0,MON,50.5512,45.4165569
2023,4,17,4,30.44776119402985,MON,23.7592,11.032362000000003
2023,4,17,5,36.986301369863014,MON,24.765600000000003,35.99308102500001
2023,4,17,6,60.96551724137931,MON,0.0,2.528249625000001
2023,4,18,1,57.616,TUE,0.0,2.8776825000000006
2023,4,18,2,32.123893805309734,TUE,39.338499999999996,13.812876000000003
2023,4,18,3,20.0,TUE,53.8965,51.693642000000004
2023,4,18,4,4.776119402985074,TUE,25.3315,75.34296
2023,4,18,5,0.0,TUE,26.404500000000002,54.62364600000001
2023,4,18,6,0.0,TUE,0.0,4.604292000000001
2023,4,19,1,16.64,WED,0.0,3.913648200000001
2023,4,19,2,9.91150442477876,WED,35.8116,15.654592800000003
2023,4,19,3,8.88888888888889,WED,49.064400000000006,43.939595700000005
2023,4,19,4,25.82089552238806,WED,23.060399999999998,64.041516
2023,4,19,5,33.6986301369863,WED,24.037200000000002,34.822574325000005
2023,4,19,6,35.172413793103445,WED,0.0,2.9352361500000006
2023,4,20,1,34.8,THU,0.0,3.1325629500000005
2023,4,20,2,27.345132743362832,THU,35.8116,16.7070024
2023,4,20,3,17.77777777777778,THU,49.064400000000006,46.893518099999994
2023,4,20,4,8.35820895522388,THU,23.060399999999998,68.34682799999999
2023,4,20,5,0.0,THU,24.037200000000002,49.5514503
2023,4,20,6,0.0,THU,0.0,4.1767506
2023,4,21,1,0.0,FRI,0.0,4.5056286
2023,4,21,2,2.1238938053097347,FRI,38.253299999999996,18.0225144
2023,4,21,3,3.3333333333333335,FRI,52.4097,50.58592109999999
2023,4,21,4,3.582089552238806,FRI,24.6327,73.72846799999999
2023,4,21,5,23.15068493150685,FRI,25.6761,53.4531393
2023,4,21,6,28.620689655172413,FRI,0.0,4.5056286
2023,4,22,1,28.32,SAT,0.0,6.2157942
2023,4,22,2,22.47787610619469,SAT,44.49319999999999,24.8631768
2023,4,22,3,13.333333333333334,SAT,60.9588,69.78641669999999
2023,4,22,4,9.552238805970148,SAT,28.650799999999993,101.71299599999998
2023,4,22,5,4.383561643835616,SAT,29.864399999999996,73.7419221
2023,4,22,6,11.379310344827585,SAT,0.0,6.2157942
2023,4,23,1,12.96,SUN,0.0,5.3935992
2023,4,23,2,18.938053097345133,SUN,40.695,21.5743968
2023,4,23,3,20.555555555555557,SUN,55.755,60.555409199999986
2023,4,23,4,18.507462686567163,SUN,26.205,88.25889599999998
2023,4,23,5,19.45205479452055,SUN,27.315,63.98769959999999
2023,4,23,6,8.96551724137931,SUN,0.0,5.3935992
